Name,Desc
Python,python interpreted highlevel programming language generalpurpose programming created guido van rossum first released python design philosophy emphasizes code readability notably using significant whitespace provides constructs enable clear programming small large scales july van rossum stepped leader language community python features dynamic type system automatic memory management supports multiple programming paradigms including objectoriented imperative functional procedural large comprehensive standard library python interpreters available many operating systems cpython reference implementation python open source software communitybased development model nearly pythons implementations python cpython managed nonprofit python software foundation
Matlab,matlab matrix laboratory multiparadigm numerical computing environment proprietary programming language developed mathworks matlab allows matrix manipulations plotting functions data implementation algorithms creation user interfaces interfacing programs written languages including c c c java fortran python although matlab intended primarily numerical computing optional toolbox uses mupad symbolic engine allowing access symbolic computing abilities additional package simulink adds graphical multidomain simulation modelbased design dynamic embedded systems matlab million users worldwide matlab users come various backgrounds engineering science economics
Java,java generalpurpose computerprogramming language concurrent classbased objectoriented specifically designed implementation dependencies possible intended let application developers write run anywhere wora meaning compiled java code run platforms support java without need recompilation java applications typically compiled bytecode run java virtual machine jvm regardless computer architecture java one popular programming languages use particularly clientserver web applications reported million developers java originally developed james gosling sun microsystems since acquired oracle corporation released core component sun microsystems java platform language derives much syntax c c fewer lowlevel facilities either original reference implementation java compilers virtual machines class libraries originally released sun proprietary licenses may compliance specifications java community process sun relicensed java technologies gnu general public license others also developed alternative implementations sun technologies gnu compiler java bytecode compiler gnu classpath standard libraries icedteaweb browser plugin applets latest version java released september follows java six months line new release schedule java still supported security updates java versions earlier java supported companies commercial basis eg oracle back java october still highly recommend uninstall prejava least windows computers
C,c si letter c generalpurpose imperative computer programming language supporting structured programming lexical variable scope recursion static type system prevents many unintended operations design c provides constructs map efficiently typical machine instructions therefore found lasting use applications formerly coded assembly language including operating systems well various application software computers ranging supercomputers embedded systems c originally developed dennis ritchie bell labs used reimplement unix operating system since become one widely used programming languages time c compilers various vendors available majority existing computer architectures operating systems c standardized american national standards institute ansi since see ansi c subsequently international organization standardization iso c imperative procedural language designed compiled using relatively straightforward compiler provide lowlevel access memory provide language constructs map efficiently machine instructions require minimal runtime support despite lowlevel capabilities language designed encourage crossplatform programming standardscompliant c program written portability mind compiled wide variety computer platforms operating systems changes source code language become available wide range platforms embedded microcontrollers supercomputers
x86 ,x family backwardcompatible instruction set architecturesa based intel cpu intel variant introduced fully bit extension intels bitbased microprocessor memory segmentation solution addressing memory covered plain bit address term x came names several successors intels processor end including processors many additions extensions added x instruction set years almost consistently full backward compatibilityb architecture implemented processors intel cyrix amd via many companies also open implementations zet soc platform nevertheless intel amd via hold x architectural licenses producing modern bit designsirrelevant citation term synonymous ibm pc compatibility implies multitude computer hardware embedded systems well generalpurpose computers used x chips pccompatible market startedc ibm pc majority personal computers laptops sold based x architecture categoriesespecially highvolume mobile categories smartphones tabletsare dominated arm high end x continues dominate computeintensive workstation cloud computing segments
JavaScript,javascript dvskrpt often abbreviated js highlevel interpreted programming language language also characterized dynamic weakly typed prototypebased multiparadigm alongside html css javascript one three core technologies world wide web javascript enables interactive web pages thus essential part web applications vast majority websites use major web browsers dedicated javascript engine execute multiparadigm language javascript supports eventdriven functional imperative including objectoriented prototypebased programming styles api working text arrays dates regular expressions basic manipulation dom language include io networking storage graphics facilities relying upon host environment embedded initially implemented clientside web browsers javascript engines embedded many types host software including serverside web servers databases nonweb programs word processors pdf software runtime environments make javascript available writing mobile desktop applications including desktop widgets although strong outward similarities javascript java including language name syntax respective standard libraries two languages distinct differ greatly design javascript influenced programming languages self scheme
C++,c siplspls see plus plus generalpurpose programming language imperative objectoriented generic programming features also providing facilities lowlevel memory manipulation designed bias toward system programming embedded resourceconstrained large systems performance efficiency flexibility use design highlights c also found useful many contexts key strengths software infrastructure resourceconstrained applications including desktop applications servers eg ecommerce web search sql servers performancecritical applications eg telephone switches space probes c compiled language implementations available many platforms many vendors provide c compilers including free software foundation microsoft intel ibm c standardized international organization standardization iso latest standard version ratified published iso december isoiec informally known c c programming language initially standardized isoiec amended c c c standards current c standard supersedes new features enlarged standard library initial standardization c developed bjarne stroustrup bell labs since extension c language wanted efficient flexible language similar c also provided highlevel features program organization c next planned standard thereafter keeping current streak new version every three years many programming languages influenced c including c java newer versions c
Chrome,google chrome commonly known simply chrome freeware web browser developed google llc first released september microsoft windows later ported linux macos ios android google chrome also main component chrome os serves platform running web apps google releases majority chromes source code chromium opensource project however chrome proprietary software one component opensource builtin adobe flash player chrome disabled default since september chrome used webkit layout engine version version chrome ports except ios port use blink fork webkit engine statcounter estimates google chrome worldwide usage share web browsers desktop browser also market share across platforms combined share smartphones thus chrome used browser virtually countries exceptions africa success led google expanding chrome brand name various products chrome os chromecast chromebook chromebit chromebox chromebase
Bash,bash unix shell command language written brian fox gnu project free software replacement bourne shell first released distributed widely default login shell linux distributions apples macos formerly os x version also available windows also default user shell solaris bash command processor typically runs text window user types commands cause actions bash also read execute commands file called shell script like unix shells supports filename globbing wildcard matching piping documents command substitution variables control structures conditiontesting iteration keywords syntax basic features language copied sh features eg history copied csh ksh bash posixcompliant shell number extensions shells name acronym bourneagain shell pun name bourne shell replaces common term born security hole bash dating version august dubbed shellshock discovered early september quickly led range attacks across internet patches fix bugs made available soon bugs identified computers updated
SQL,sql skjul soundlisten sql sikwl sequel structured query language domainspecific language used programming designed managing data held relational database management system rdbms stream processing relational data stream management system rdsms particularly useful handling structured data relations different entitiesvariables data sql offers two main advantages older readwrite apis like isam vsam first introduced concept accessing many records one single command second eliminates need specify reach record eg without index originally based upon relational algebra tuple relational calculus sql consists many types statements may informally classed sublanguages commonly data query language dqla data definition language ddlb data control language dcl data manipulation language dmlc scope sql includes data query data manipulation insert update delete data definition schema creation modification data access control although sql often described great extent declarative language gl also includes procedural elements sql one first commercial languages edgar f codds relational model model described influential paper relational model data large shared data banks despite entirely adhering relational model described codd became widely used database language sql became standard american national standards institute ansi international organization standardization iso since standard revised include larger set features despite existence standards sql code completely portable among different database systems without adjustments
